,Player,Age,Team,Position,GamesPlayed,Goals,Assists,Points,PlusMinus,PenaltyMinutes,PointShare,EV,PP,SH,GW,EV.1,PP.1,SH.1,Shots,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%,Pos,GP,GoalsCreated,GoalsPerGame,AssistsPerGame,PointsPerGame,GoalsCreatedPerGame,PenaltyMinutesPerGame,ShotsPerGame,AdjustedGoals,AdjustedAssists,AdjustedPts,AdjustedGoalsCreated,TGF,PGF,TGA,PGA,xGF,xGA,ExpectedPlusMinus,OPS,DPS,PointShares
784,Alexander Romanov,22,MTL,D,79,3,10,13,-9,53,2.1,3,0,0,0,10,0,0,107,2.8,1611,1224,144,227,0,0,,1205,1388,46.5,-0.8,890,1057,45.7,-1.0,9.6,90.5,100.1,42.7,57.3,1224,1062,24,78,244,43.9,D,79,4,0.04,0.13,0.16,0.06,0.67,1.35,3,9,12,4,65,0,113,39,55.2,66.8,-11.7,-0.4,2.6,2.1
785,Kevin Rooney,28,NYR,C,61,6,6,12,-1,18,0.4,6,0,0,1,6,0,0,71,8.5,845,831,47,84,181,223,44.8,442,724,37.9,-10.8,322,535,37.6,-11.9,7.7,94.8,102.5,43.4,56.6,830,693,22,19,110,64.5,C,61,5,0.1,0.1,0.2,0.08,0.3,1.16,6,6,12,5,19,0,30,10,20.8,29.0,-8.3,-0.6,1.0,0.4
786,Calle Rosen,27,STL,D,18,2,5,7,-2,4,0.8,2,0,0,0,5,0,0,18,11.1,258,860,16,6,0,0,,237,223,51.5,6.1,188,177,51.5,6.9,9.8,88.2,98.0,52.8,47.2,860,836,3,11,39,46.2,D,18,2,0.11,0.28,0.39,0.13,0.22,1.0,2,5,7,2,13,0,16,1,13.6,10.6,3.0,0.5,0.3,0.8
787,Jack Roslovic,25,CBJ,C,81,22,23,45,2,12,4.5,18,4,0,4,20,3,0,131,16.8,1157,857,25,60,372,483,43.5,893,922,49.2,1.7,680,730,48.2,1.8,10.7,91.3,101.9,66.3,33.7,857,719,32,35,219,59.8,C,81,18,0.27,0.28,0.56,0.22,0.15,1.62,21,22,43,17,64,12,57,7,40.1,47.0,-6.8,3.2,1.3,4.5
789,Antoine Roussel,32,ARI,LW,53,4,4,8,-16,59,-0.5,4,0,0,1,4,0,0,59,6.8,644,729,34,74,17,22,43.6,425,562,43.1,-3.0,310,437,41.5,-5.0,5.4,91.2,96.6,35.6,64.4,729,622,9,16,103,57.3,LW,53,3,0.08,0.08,0.15,0.06,1.11,1.11,4,4,8,3,12,0,41,13,17.5,28.5,-10.9,-0.6,0.2,-0.5
790,Carter Rowney,32,DET,RW,26,4,2,6,-4,0,0.4,4,0,0,0,1,0,1,15,26.7,277,640,20,36,74,91,44.8,178,236,43.0,-2.5,133,163,44.9,-0.5,11.7,86.7,98.4,38.2,61.8,640,615,4,5,27,55.6,RW,26,3,0.15,0.08,0.23,0.1,0.0,0.58,4,2,6,3,12,0,18,2,6.7,9.5,-2.8,0.2,0.2,0.4
791,Matt Roy,26,LAK,D,67,2,19,21,23,28,5.4,2,0,0,0,15,2,2,153,1.3,1406,1259,103,124,0,0,,1265,1014,55.5,1.9,976,742,56.8,2.7,8.4,92.6,100.9,49.4,50.6,1259,1090,8,49,276,55.4,D,67,6,0.03,0.28,0.31,0.1,0.42,2.28,2,18,20,6,68,3,61,19,52.8,43.5,9.3,0.6,4.8,5.4
792,Nicolas Roy,24,VEG,C,78,15,24,39,12,51,3.5,13,2,0,3,20,3,1,145,10.3,1268,975,34,85,454,477,48.8,1137,941,54.7,2.5,834,701,54.3,0.6,9.4,91.3,100.7,51.6,48.4,975,791,34,38,238,60.9,C,78,15,0.19,0.31,0.5,0.19,0.65,1.86,15,23,38,14,74,13,60,11,55.6,46.1,9.5,1.8,1.8,3.5
794,Chad Ruhwedel,31,PIT,D,78,4,9,13,2,14,2.8,4,0,0,0,9,0,0,82,4.9,1196,920,86,149,0,0,,996,876,53.2,2.0,784,653,54.6,2.7,8.4,91.0,99.3,50.5,49.5,920,815,19,21,181,45.3,D,78,5,0.05,0.12,0.17,0.06,0.18,1.05,4,9,13,5,48,0,59,13,51.5,40.0,11.5,0.1,2.6,2.8
795,Arttu Ruotsalainen,24,BUF,F,18,2,2,4,-1,6,0.2,2,0,0,0,2,0,0,23,8.7,214,713,6,14,51,69,42.5,155,172,47.4,0.1,114,134,46.0,-0.7,6.0,94.1,100.1,50.0,50.0,713,637,5,0,37,62.2,F,18,2,0.11,0.11,0.22,0.09,0.33,1.28,2,2,4,2,5,0,7,1,6.4,7.7,-1.3,0.0,0.2,0.2
796,Kris Russell,34,EDM,D,31,2,7,9,7,4,1.9,2,0,0,1,7,0,0,34,5.9,479,926,68,33,0,0,,372,408,47.7,-6.1,273,297,47.9,-4.8,10.7,92.4,103.1,47.6,52.4,926,819,3,14,66,51.5,D,31,3,0.06,0.23,0.29,0.1,0.13,1.1,2,7,9,3,24,0,23,6,19.3,18.7,0.5,0.5,1.4,1.9
797,Bryan Rust,29,PIT,RW,60,24,34,58,7,14,6.2,15,9,0,1,22,12,0,180,13.3,1126,1126,24,43,1,5,16.7,927,873,51.5,-0.5,715,674,51.5,-1.8,10.9,91.5,102.3,60.2,39.8,1126,874,22,36,302,59.6,RW,60,22,0.4,0.57,0.97,0.36,0.23,3.0,23,32,55,21,91,34,55,5,44.9,42.3,2.7,4.7,1.5,6.2
798,Jan Rutta,31,TBL,D,76,3,15,18,25,47,4.8,3,0,0,0,15,0,0,86,3.5,1245,983,71,93,0,0,,1051,981,51.7,0.5,799,758,51.3,-0.7,11.6,92.1,103.7,53.0,47.0,983,911,6,18,198,43.4,D,76,6,0.04,0.2,0.24,0.07,0.62,1.13,3,14,17,5,69,0,52,8,52.6,44.2,8.4,0.5,4.3,4.8
799,Adam Ruzicka,22,CGY,C,28,5,5,10,8,8,1.2,5,0,0,0,5,0,0,33,15.2,286,613,8,24,103,120,46.2,284,219,56.5,-1.4,220,176,55.6,-2.3,8.9,95.8,104.7,60.6,39.4,613,599,6,11,58,56.9,C,28,4,0.18,0.18,0.36,0.15,0.29,1.18,5,5,10,4,14,0,6,0,12.2,9.5,2.7,0.7,0.6,1.2
800,Derek Ryan,35,EDM,C,75,10,12,22,-4,8,1.4,10,0,0,2,11,0,1,72,13.9,857,686,38,38,286,226,55.9,653,601,52.1,-0.5,489,443,52.5,1.3,9.3,88.4,97.8,39.2,60.8,686,578,26,15,118,61.0,C,75,9,0.13,0.16,0.29,0.11,0.11,0.96,10,11,21,8,34,0,61,23,27.9,27.6,0.3,0.7,0.7,1.4
801,Jonas Røndbjerg,22,VEG,RW,30,2,4,6,0,4,0.3,2,0,0,0,4,0,0,30,6.7,300,601,11,13,0,2,0.0,214,243,46.8,-5.1,155,163,48.7,-4.5,10.0,91.9,101.9,53.8,46.2,601,570,8,5,50,60.0,RW,30,2,0.07,0.13,0.2,0.07,0.13,1.0,2,4,6,2,10,0,11,1,9.3,10.0,-0.6,-0.1,0.3,0.3
802,Brandon Saad,29,STL,LW,78,24,25,49,11,10,5.0,15,8,1,1,18,5,2,158,15.2,1269,976,20,20,8,11,42.1,909,961,48.6,2.2,674,775,46.5,-0.2,11.1,92.0,103.1,43.9,56.1,976,817,45,25,236,66.9,LW,78,19,0.31,0.32,0.63,0.25,0.13,2.03,23,24,47,19,83,25,54,7,43.4,45.6,-2.2,3.4,1.6,5.0
804,Robin Salo,23,NYI,D,21,1,4,5,-6,4,0.6,1,0,0,0,2,2,0,24,4.2,351,1001,23,7,0,0,,232,281,45.2,-5.3,159,209,43.2,-8.1,6.1,91.2,97.4,53.6,46.4,1001,909,5,14,43,55.8,D,21,2,0.05,0.19,0.24,0.08,0.19,1.14,1,4,5,2,10,3,13,0,9.9,15.0,-5.1,0.2,0.5,0.6
805,Dylan Samberg,23,WPG,D,15,0,5,5,3,4,0.9,0,0,0,0,5,0,0,14,0.0,223,891,19,21,0,0,,170,187,47.6,-2.8,145,151,49.0,-0.9,10.8,92.7,103.4,52.3,47.7,891,846,6,11,28,50.0,D,15,1,0.0,0.33,0.33,0.09,0.27,0.93,0,5,5,1,11,0,9,1,9.8,10.0,-0.2,0.2,0.7,0.9
807,Mattias Samuelsson,21,BUF,D,42,0,10,10,-10,16,1.2,0,0,0,0,10,0,0,44,0.0,840,1200,60,100,0,0,,603,665,47.6,-1.9,471,525,47.3,-1.2,9.9,88.1,98.0,38.5,61.5,1200,1058,8,28,83,53.0,D,42,3,0.0,0.24,0.24,0.07,0.38,1.05,0,9,9,2,37,0,60,13,29.6,36.2,-6.6,-0.1,1.3,1.2
809,Rasmus Sandin,21,TOR,D,51,5,11,16,9,4,3.0,5,0,0,3,8,3,0,46,10.9,865,1018,39,88,0,0,,838,689,54.9,2.4,620,523,54.2,2.8,9.1,91.9,101.0,53.0,47.0,1018,932,18,24,122,37.7,D,51,6,0.1,0.22,0.31,0.11,0.08,0.9,5,10,15,5,50,9,32,0,42.4,29.3,13.1,1.0,2.1,3.0
810,Zach Sanford,27,TOT,LW,80,9,12,21,-15,50,0.7,8,1,0,0,10,2,0,104,8.7,1144,858,67,169,5,17,22.7,836,1021,45.0,-4.1,628,757,45.3,-4.1,7.6,91.9,99.5,40.1,59.9,858,754,36,22,209,49.8,LW,80,8,0.11,0.15,0.26,0.1,0.63,1.3,9,12,21,8,41,9,52,5,33.6,45.8,-12.1,-0.3,1.0,0.7
811,Travis Sanheim,25,PHI,D,80,7,24,31,9,34,6.2,7,0,0,1,24,0,0,123,5.7,1838,1378,142,64,0,0,,1464,1607,47.7,1.2,1108,1219,47.6,0.8,10.2,91.4,101.6,42.3,57.7,1378,1209,23,55,249,49.4,D,80,10,0.09,0.3,0.39,0.13,0.43,1.54,7,23,30,10,90,2,109,30,67.5,65.0,2.5,1.5,4.8,6.2
812,David Savard,31,MTL,D,62,3,14,17,-22,36,1.3,3,0,0,0,13,0,1,66,4.5,1289,1247,127,134,0,0,,912,1173,43.7,-3.7,688,895,43.5,-3.1,8.9,89.8,98.6,42.8,57.2,1247,1075,7,63,127,52.0,D,62,5,0.05,0.23,0.27,0.09,0.58,1.06,3,13,16,5,46,0,98,30,41.0,59.6,-18.6,0.4,1.0,1.3
813,Marco Scandella,31,STL,D,70,3,11,14,17,18,3.4,3,0,0,0,9,0,2,76,3.9,1270,1088,70,106,0,0,,835,1088,43.4,-4.9,648,866,42.8,-5.3,12.7,92.5,105.2,32.0,68.0,1088,955,18,38,142,53.5,D,70,5,0.04,0.16,0.2,0.06,0.26,1.09,3,10,13,4,64,0,55,8,46.3,50.8,-4.5,0.0,3.4,3.4
814,Colton Sceviour,32,EDM,C,35,2,3,5,-6,26,-0.1,2,0,0,0,2,0,1,38,5.3,332,568,20,41,29,33,46.8,240,242,49.8,-3.4,172,183,48.5,-3.5,7.5,89.0,96.5,36.4,63.6,568,475,9,10,60,63.3,C/RW,35,2,0.06,0.09,0.14,0.05,0.74,1.09,2,3,5,2,10,0,26,10,9.1,11.3,-2.3,-0.2,0.1,-0.1
815,Mark Scheifele,28,WPG,C,67,29,41,70,-17,23,6.6,22,7,0,3,29,12,0,159,18.2,1416,1268,47,36,430,418,50.7,1155,1143,50.3,1.1,881,870,50.3,1.3,10.7,87.5,98.2,59.2,40.8,1268,1055,49,60,264,60.2,C,67,27,0.43,0.61,1.04,0.4,0.34,2.37,28,39,67,26,102,33,86,0,57.7,56.4,1.2,5.6,1.0,6.6
816,Brayden Schenn,30,STL,C,62,24,34,58,21,33,6.5,17,7,0,3,24,10,0,111,21.6,1103,1067,17,119,284,295,49.1,726,897,44.7,-2.5,544,710,43.4,-4.1,15.7,91.3,107.0,45.6,54.4,1067,893,42,28,197,56.3,C,62,22,0.39,0.55,0.94,0.35,0.53,1.79,23,32,55,21,93,27,48,3,38.0,42.6,-4.6,4.7,1.8,6.5
817,Luke Schenn,32,VAN,D,66,5,12,17,15,61,4.4,4,0,1,1,12,0,0,78,6.4,1136,1033,96,273,0,0,,876,872,50.1,0.4,657,660,49.9,0.0,9.0,93.5,102.5,50.3,49.7,1033,916,7,42,163,47.9,D,66,6,0.08,0.18,0.26,0.09,0.92,1.18,5,11,16,6,46,0,45,15,40.4,39.6,0.9,0.8,3.6,4.4
818,Nick Schmaltz,25,ARI,C,63,23,36,59,1,14,6.1,19,4,0,4,32,4,0,123,18.7,1150,1095,28,15,114,125,47.7,821,961,46.1,2.9,636,746,46.0,3.8,14.6,89.0,103.7,46.7,53.3,1095,920,52,42,212,58.0,C,63,22,0.37,0.57,0.94,0.35,0.22,1.95,22,34,56,21,79,15,66,3,38.8,50.6,-11.8,4.7,1.4,6.1
819,Nate Schmidt,30,WPG,D,77,4,28,32,-4,10,4.4,3,1,0,1,17,10,1,117,3.4,1556,1213,104,37,0,0,,1276,1286,49.8,0.4,959,999,49.0,-0.7,7.8,91.6,99.3,56.0,44.0,1213,1072,32,66,257,45.5,D,77,10,0.05,0.36,0.42,0.13,0.13,1.52,4,27,31,10,75,16,68,5,60.3,65.3,-5.0,1.6,2.8,4.4
820,Braden Schneider,20,NYR,D,43,2,9,11,5,9,2.5,2,0,0,0,8,1,0,25,8.0,665,929,52,60,0,0,,445,619,41.8,-9.9,319,463,40.8,-11.6,10.1,93.9,104.0,50.2,49.8,929,893,7,20,65,38.5,D,43,3,0.05,0.21,0.26,0.08,0.21,0.58,2,9,11,4,26,1,21,1,20.7,26.8,-6.1,0.4,2.0,2.5
821,Corey Schueneman,26,MTL,D,24,2,4,6,-5,8,0.7,2,0,0,0,3,1,0,30,6.7,398,996,40,15,0,0,,310,373,45.4,-2.7,230,280,45.1,-2.3,5.8,93.2,99.1,54.6,45.4,996,912,6,13,65,46.2,D,24,2,0.08,0.17,0.25,0.09,0.33,1.25,2,4,6,2,11,1,17,2,14.7,20.6,-5.9,0.3,0.4,0.7
822,Justin Schultz,31,WSH,D,74,4,19,23,-15,16,2.5,2,2,0,1,16,3,0,92,4.3,1252,1015,87,40,0,0,,1050,992,51.4,0.9,790,722,52.2,0.5,8.1,89.2,97.3,58.4,41.6,1015,926,13,25,205,44.9,D,74,7,0.05,0.26,0.31,0.1,0.22,1.24,4,18,22,7,53,9,59,0,46.8,45.6,1.2,1.1,1.4,2.5
823,Jaden Schwartz,29,SEA,C,37,8,15,23,-13,14,1.5,7,1,0,0,12,3,0,101,7.9,683,1107,13,42,17,18,48.6,573,516,52.6,3.8,446,397,52.9,4.2,9.0,85.4,94.4,54.5,45.5,1107,955,28,16,168,60.1,C,37,8,0.22,0.41,0.62,0.22,0.38,2.73,8,14,22,8,37,8,43,1,26.5,22.9,3.7,1.1,0.5,1.5
825,Nick Seeler,28,PHI,D,43,1,2,3,-3,29,0.7,1,0,0,0,2,0,0,32,3.1,562,785,67,75,0,0,,424,531,44.4,-4.0,316,384,45.1,-2.7,7.8,91.8,99.6,51.9,48.1,785,734,4,17,67,47.8,D,43,1,0.02,0.05,0.07,0.03,0.67,0.74,1,2,3,1,20,0,26,3,18.1,24.5,-6.4,-0.3,1.0,0.7
826,Tyler Seguin,30,DAL,C,81,24,25,49,-21,30,4.2,21,3,0,2,15,10,0,218,11.0,1443,1069,33,96,464,364,56.0,1108,1226,47.5,-2.2,819,926,46.9,-3.1,8.3,89.7,98.1,50.4,49.6,1069,907,26,48,345,63.2,C,81,20,0.3,0.31,0.6,0.24,0.37,2.69,23,24,47,19,82,31,77,5,48.0,57.0,-9.0,2.9,1.2,4.2
827,Moritz Seider,20,DET,D,82,7,43,50,-9,34,6.7,5,2,0,4,22,19,2,187,3.7,1889,1382,161,151,0,0,,1318,1443,47.7,2.3,992,1105,47.3,2.3,10.1,89.2,99.3,46.3,53.7,1382,1094,41,48,355,52.7,D,82,15,0.09,0.52,0.61,0.19,0.41,2.28,7,41,48,15,112,31,118,28,65.4,72.1,-6.7,3.2,3.5,6.7
828,Andrej Sekera,35,DAL,D,32,1,3,4,-3,16,0.9,1,0,0,0,3,0,0,26,3.8,439,823,25,15,0,0,,327,419,43.8,-6.7,249,303,45.1,-4.9,7.0,92.8,99.8,39.0,61.0,823,769,3,14,53,49.1,D,32,1,0.03,0.09,0.13,0.04,0.5,0.81,1,3,4,1,12,0,19,4,13.7,17.3,-3.6,-0.1,0.9,0.9
832,Mikhail Sergachev,23,TBL,D,78,7,31,38,6,59,6.1,6,1,0,1,24,6,1,149,4.7,1753,1348,123,139,0,0,,1266,1271,49.9,-1.5,976,955,50.5,-0.9,9.8,90.9,100.7,52.0,48.0,1348,1129,23,39,283,52.7,D,78,12,0.09,0.4,0.49,0.16,0.76,1.91,7,29,36,12,82,11,88,23,65.6,60.4,5.2,2.2,3.9,6.1
833,Damon Severson,27,NJD,D,80,11,35,46,-14,57,6.3,6,5,0,0,23,11,1,158,7.0,1888,1416,92,91,0,0,,1398,1348,50.9,0.4,1067,1054,50.3,0.0,8.8,89.2,98.0,45.5,54.5,1416,1124,38,63,312,50.6,D,80,15,0.14,0.44,0.58,0.19,0.71,1.98,11,33,44,15,90,20,106,22,64.6,59.2,5.4,3.2,3.1,6.3
834,Michael Sgarbossa,29,WSH,C,10,2,2,4,3,0,0.5,2,0,0,0,2,0,0,11,18.2,99,594,2,7,41,31,56.9,105,84,55.6,4.9,84,65,56.4,6.7,9.1,94.0,103.1,53.1,46.9,594,549,1,3,14,78.6,C,10,2,0.2,0.2,0.4,0.17,0.0,1.1,2,2,4,2,6,0,3,0,5.1,3.8,1.3,0.3,0.2,0.5
835,Yegor Sharangovich,23,NJD,C,76,24,22,46,-14,23,4.2,20,2,2,3,21,1,0,168,14.3,1255,990,26,30,89,131,40.5,1083,990,52.2,1.5,805,778,50.9,0.1,11.1,86.4,97.4,58.1,41.9,990,854,48,44,294,57.1,C,76,19,0.32,0.29,0.61,0.25,0.3,2.21,23,21,44,18,71,5,94,14,51.3,48.2,3.2,3.3,0.9,4.2
836,Kevin Shattenkirk,33,ANA,D,82,8,27,35,-9,36,5.7,7,1,0,1,14,13,0,163,4.9,1756,1285,135,73,0,1,0.0,1187,1382,46.2,-2.0,905,1028,46.8,-1.0,9.1,90.2,99.3,48.7,51.3,1285,1033,38,58,295,55.3,D,82,12,0.1,0.33,0.43,0.14,0.44,1.99,8,26,34,11,89,25,92,19,56.7,61.3,-4.5,2.0,3.7,5.7
837,Logan Shaw,30,OTT,RW,17,1,2,3,-3,2,0.1,1,0,0,0,2,0,0,17,5.9,159,563,5,11,58,57,50.4,114,151,43.0,-2.3,81,111,42.2,-3.6,10.3,90.0,100.3,22.7,77.3,563,489,11,3,22,77.3,RW,17,1,0.06,0.12,0.18,0.06,0.12,1.0,1,2,3,1,6,0,13,4,5.1,6.1,-1.1,-0.1,0.1,0.1
839,Riley Sheahan,30,SEA,C,69,4,13,17,6,2,1.1,4,0,0,0,11,0,2,69,5.8,831,723,28,16,263,296,47.0,590,569,50.9,-0.8,432,421,50.6,-0.4,9.7,91.1,100.8,38.2,61.8,723,594,18,12,109,63.3,C,69,6,0.06,0.19,0.25,0.08,0.03,1.0,4,12,16,5,33,0,51,24,26.4,25.8,0.6,-0.3,1.4,1.1
840,Conor Sheary,29,WSH,LW,71,19,24,43,-2,14,4.2,17,2,0,5,20,4,0,129,14.7,1085,917,44,45,11,16,40.7,868,880,49.7,-1.2,671,654,50.6,-1.4,9.5,90.3,99.8,58.0,42.0,917,790,38,12,214,60.3,LW,71,17,0.27,0.34,0.61,0.24,0.2,1.82,18,23,41,16,58,13,48,1,39.3,40.2,-0.9,3.1,1.1,4.2
841,Kiefer Sherwood,26,COL,RW,11,1,1,2,3,0,0.2,1,0,0,1,1,0,0,9,11.1,94,514,4,12,1,0,100.0,78,76,50.6,-0.1,58,52,52.7,3.2,11.6,94.6,106.2,51.4,48.6,514,478,4,1,14,64.3,RW,11,1,0.09,0.09,0.18,0.07,0.0,0.82,1,1,2,1,5,0,2,0,4.0,3.0,1.0,0.0,0.2,0.2
843,Devin Shore,27,EDM,C,49,5,6,11,-4,10,0.6,4,0,1,0,6,0,0,36,13.9,469,574,21,67,102,112,47.7,348,358,49.3,-4.1,269,272,49.7,-2.3,8.2,89.9,98.2,46.1,53.9,574,503,15,8,65,55.4,C,49,4,0.1,0.12,0.22,0.09,0.2,0.73,5,6,11,4,17,0,33,12,14.1,19.1,-5.0,0.2,0.3,0.6
844,Jonas Siegenthaler,24,NJD,D,70,1,13,14,-5,42,2.4,1,0,0,0,12,0,1,92,1.1,1439,1234,106,98,0,0,,1140,1088,51.2,0.0,861,828,51.0,0.1,9.2,89.1,98.3,41.7,58.3,1234,1088,17,52,190,48.4,D,70,4,0.01,0.19,0.2,0.06,0.6,1.31,1,12,13,4,61,0,86,20,51.2,49.1,2.1,-0.3,2.8,2.4
846,Jakob Silfverberg,31,ANA,LW,53,5,16,21,-3,30,1.1,4,1,0,0,12,4,0,120,4.2,903,1022,40,16,8,16,33.3,531,666,44.4,-5.5,408,502,44.8,-5.2,7.9,91.1,99.0,30.5,69.5,1022,787,30,16,183,65.6,LW,53,7,0.09,0.3,0.4,0.13,0.57,2.26,5,15,20,7,45,17,43,12,25.2,29.5,-4.3,0.0,1.1,1.1
847,Cole Sillinger,18,CBJ,C,79,16,15,31,-22,37,1.8,16,0,0,3,13,2,0,148,10.8,1082,822,43,98,362,417,46.5,855,934,47.8,-0.3,641,733,46.7,-0.3,8.6,89.0,97.6,58.0,42.0,822,745,24,24,254,58.3,C,79,13,0.2,0.19,0.39,0.16,0.47,1.87,15,14,29,12,43,4,68,7,37.8,48.1,-10.3,1.5,0.3,1.8
848,Radim Simek,29,SJS,D,36,1,1,2,-13,8,0.1,1,0,0,0,1,0,0,25,4.0,478,797,39,96,0,0,,346,416,45.4,-0.5,250,292,46.1,-0.9,5.4,89.1,94.5,46.2,53.8,797,776,10,15,49,51.0,D,36,1,0.03,0.03,0.06,0.02,0.22,0.69,1,1,2,1,11,1,23,0,15.4,16.7,-1.3,-0.3,0.4,0.1
849,Wayne Simmonds,33,TOR,RW,72,5,11,16,-7,96,0.5,5,0,0,2,10,1,0,79,6.3,672,560,11,148,3,3,50.0,567,592,48.9,-5.6,415,463,47.3,-7.0,7.3,91.3,98.6,55.5,44.5,560,545,15,18,133,59.4,RW,72,6,0.07,0.15,0.22,0.08,1.33,1.1,5,10,15,5,25,2,30,0,29.9,27.9,2.0,0.1,0.4,0.5
850,Dominik Simon,27,TOT,C,72,3,10,13,0,34,0.3,3,0,0,1,9,1,0,88,3.4,741,617,38,72,9,12,42.9,699,582,54.6,4.4,545,425,56.2,5.7,6.8,91.5,98.3,41.0,59.0,617,592,22,20,138,63.8,C,72,4,0.04,0.14,0.18,0.06,0.47,1.22,3,10,13,4,28,1,27,0,29.8,27.1,2.7,-0.5,0.9,0.3
851,Colton Sissons,28,NSH,C,79,7,21,28,2,30,1.3,6,1,0,0,18,3,0,87,8.0,1277,970,44,188,719,573,55.7,846,920,47.9,-1.7,649,701,48.1,-2.2,8.9,92.4,101.3,34.3,65.7,970,768,19,25,163,53.4,C,79,9,0.09,0.27,0.35,0.12,0.38,1.1,7,20,27,9,46,5,71,32,34.8,40.6,-5.9,-0.2,1.5,1.3
852,Jeff Skinner,29,BUF,LW,80,33,30,63,-14,42,6.9,28,5,0,4,24,6,0,262,12.6,1368,1026,20,29,91,133,40.6,1163,1088,51.7,4.5,903,882,50.6,4.4,10.2,87.8,98.0,60.0,40.0,1026,857,51,52,406,64.5,LW/C,80,26,0.41,0.38,0.79,0.33,0.53,3.28,32,29,61,25,94,24,84,0,59.2,54.5,4.6,5.6,1.3,6.9
853,Brady Skjei,27,CAR,D,82,9,30,39,22,48,8.0,9,0,0,0,30,0,0,184,4.9,1734,1269,73,95,0,0,,1557,1309,54.3,-2.4,1188,1049,53.1,-3.4,9.7,92.0,101.7,50.4,49.6,1269,1111,51,62,330,55.8,D,82,13,0.11,0.37,0.48,0.16,0.59,2.24,9,29,38,13,83,0,77,16,69.0,63.7,5.3,2.5,5.5,8.0
854,Jaccob Slavin,27,CAR,D,79,4,38,42,35,10,8.9,3,1,0,0,30,6,2,165,2.4,1859,1412,121,50,0,0,,1538,1213,55.9,-0.1,1196,943,55.9,0.8,10.6,91.6,102.2,55.8,44.2,1412,1133,74,43,341,48.4,D,79,12,0.05,0.48,0.53,0.16,0.13,2.09,4,36,40,12,107,15,74,17,70.6,55.8,14.9,2.1,6.8,8.9
855,Josiah Slavin,23,CHI,LW,15,0,1,1,0,4,-0.2,0,0,0,0,1,0,0,13,0.0,180,722,4,12,29,38,43.3,133,162,45.1,-1.9,93,121,43.5,-3.8,2.9,97.7,100.6,26.2,73.8,722,657,4,3,23,56.5,LW,15,0,0.0,0.07,0.07,0.02,0.27,0.87,0,1,1,0,2,0,10,8,5.4,6.2,-0.8,-0.4,0.3,-0.2
856,Brendan Smith,32,CAR,D,45,4,4,8,6,36,2.2,4,0,0,1,4,0,0,63,6.3,626,835,40,73,0,0,,576,428,57.4,1.4,450,329,57.8,3.2,7.6,91.4,99.1,55.8,44.2,835,770,12,13,128,49.2,D,45,3,0.09,0.09,0.18,0.07,0.8,1.4,4,4,8,3,25,0,24,5,25.3,19.7,5.5,0.4,1.9,2.2
859,Craig Smith,32,BOS,C,74,16,20,36,2,28,3.4,16,0,0,1,16,4,0,187,8.6,1067,865,28,95,4,8,33.3,975,791,55.2,1.3,769,600,56.2,1.0,7.6,90.6,98.2,51.9,48.1,865,770,21,30,318,58.8,C,74,14,0.22,0.27,0.49,0.19,0.38,2.53,15,19,34,13,55,10,43,0,44.8,33.9,10.9,2.0,1.4,3.4
861,Givani Smith,23,DET,RW,46,4,3,7,-6,108,0.2,4,0,0,0,3,0,0,50,8.0,390,508,20,86,1,1,50.0,313,366,46.1,-1.1,224,269,45.4,-1.7,7.1,91.0,98.1,53.7,46.3,508,508,7,8,83,60.2,RW,46,3,0.09,0.07,0.15,0.07,2.35,1.09,4,3,7,3,12,0,18,0,13.9,15.7,-1.8,0.0,0.3,0.2
862,Nathan Smith,23,ARI,C,10,2,2,4,-1,2,0.3,2,0,0,0,2,0,0,14,14.3,142,849,6,26,38,58,39.6,102,115,47.0,4.5,84,94,47.2,5.4,9.8,89.1,98.9,52.8,47.2,849,746,1,12,22,63.6,C,10,2,0.2,0.2,0.4,0.16,0.2,1.4,2,2,4,2,7,1,7,0,6.0,6.9,-0.9,0.2,0.1,0.3
863,Reilly Smith,30,VEG,RW,56,16,22,38,4,8,3.7,11,3,2,3,16,4,2,150,10.7,996,1067,23,55,4,4,50.0,888,710,55.6,4.5,679,510,57.1,5.1,7.9,89.5,97.4,53.8,46.2,1067,853,29,42,250,60.0,RW,56,15,0.29,0.39,0.68,0.27,0.14,2.68,15,21,36,14,57,13,51,11,43.7,33.9,9.8,2.5,1.2,3.7
864,Ty Smith,21,NJD,D,66,5,15,20,-26,22,1.6,5,0,0,0,11,4,0,77,6.5,1155,1050,73,45,0,0,,1005,1023,49.6,-1.2,766,792,49.2,-2.0,7.9,87.7,95.6,61.5,38.5,1050,963,13,40,187,41.2,D,66,7,0.08,0.23,0.3,0.1,0.33,1.17,5,14,19,7,50,7,71,2,45.0,45.8,-0.8,1.0,0.6,1.6
865,Joe Snively,26,WSH,F,12,4,3,7,3,2,1.0,3,1,0,0,3,0,0,21,19.0,139,693,3,2,0,1,0.0,111,129,46.3,-3.0,83,96,46.4,-2.9,15.0,91.2,106.2,62.5,37.5,693,675,7,1,35,60.0,F,12,3,0.33,0.25,0.58,0.25,0.17,1.75,4,3,7,3,10,1,6,0,4.3,5.7,-1.4,0.7,0.3,1.0
